dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/578301,2010,Colore e colorimetria contributi multidisciplinari Vol VI,"ROSSI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/578522,2010,Colore. quaderni di cultura e progetto del colore / notes on colour culture and design,"BOERI, CRISTINA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/579241,2010,Innovazione nel packaging design. Riflessioni e strumenti.,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/580803,2010,Latitudine 45°40'80'' - Longitudine 9°15'20''. Milanofiori Nord,"BARBARA, ANNA;L. Molinari"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/582065,2010,Luigi Ferrario. Paesaggi costruiti,"CIAGA', GRAZIELLA LEYLA;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/582693,2010,"La semiotica e il progetto 2. Spazi, oggetti, interfacce","C. Bianchi;F. Montanari;ZINGALE, SALVATORE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/583474,2010,"Novecento Sedotto, il fascino del Seicento fra le due guerre","MAZZANTI, ANNA;L. Mannini;V. Gensini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/583494,2010,"Ospiti Inaspettati. Case di ieri, design di oggi","FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/583495,2010,Inventario 01,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/692776,2010,Luigi Ferrario. Paesaggi costruiti,"CIAGA', GRAZIELLA LEYLA;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/572638,2011,Design for Services,"MERONI, ANNA;SANGIORGI, DANIELA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/576680,2011,"On the road. Bob Noorda, il grafico del viaggio (titolo inglese ""On the road. Bob Noorda: travelling with a graphic designer"").","GUIDA, FRANCESCO ERMANNO;FERRARA, CINZIA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/579322,2011,La ricerca nel disegno di design. giornata di studio 20 ottobre 2010,"AMORUSO, GIUSEPPE;BISTAGNINO, ENRICA;BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;GUIDI, GABRIELE;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/580903,2011,"Il segno continuo. Simonetta Ferrante.Grafica tra arte, calligrafia e design","GUIDA, FRANCESCO ERMANNO;Lorenzo Grazzani"
