dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/759174,eng,2012,Esperti anonimi,internazionale,The Hong Kong Polytecnic University,Honk Kong,-,Incorporating Disciplinary Dynamics into Design Education DesignEd Asia Conference 2012,-,-,Hong Kong,DesignEd Asia 2012,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"BERTOLA, PAOLA;COLOMBI, CHIARA;VACCA, FEDERICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/761877,eng,2012,Nessuno,internazionale,new academic press,Wien,AUT,Applied Playfulness,-,-,Vienna,FROG - Future and Reality of Gaming,,urban game; pervasive game; urban fabric; applied playfulness; social interaction,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"MARIANI, ILARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/762085,eng,2012,Nessuno,internazionale,McGraw-Hill,-,-,Nexus Ph.D. Day Relationships between Architecture and Mathematics,-,-,Milano,Nexus,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"BURATTI, GIORGIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/762127,ita,2012,Nessuno,nazionale,Maggioli Editore,-,-,COLORE E COLORIMETRIA CONTRIBUTI MULTIDISCIPLINARI VOL. VIII A,-,-,Bologna,VIII Conferenza del Colore,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"BURATTI, GIORGIO;A. Bozzon"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/762347,eng,2012,Nessuno,internazionale,-,-,-,Proceedings of the 2012 European Working Group on Transportation,PROCEDIA: SOCIAL & BEHAVIORAL SCIENCES,-,Cité Descartes (Francia),"European Working Group on Transportation, EWGT 2012",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"YELDAN, OZNUR;COLORNI VITALE, ALBERTO;LUE', ALESSANDRO;RODARO, EMANUELE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/762348,eng,2012,Nessuno,internazionale,-,-,-,Proceedings of the 2012 Transport Research Arena,PROCEDIA: SOCIAL & BEHAVIORAL SCIENCES,-,Atene (Grecia),Transport Research Arena – Europe 2012,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"LUE', ALESSANDRO;COLORNI VITALE, ALBERTO;R. Nocerino;V. Paruscio"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/762350,ita,2012,Nessuno,internazionale,-,-,-,Proceedings of the 19th Intelligent Transport Systems World Congress,-,-,"Vienna, Austria",19th Intelligent Transport Systems World Congress,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,6,"ARENA, MARIKA;AZZONE, GIOVANNI;COLORNI VITALE, ALBERTO;CONTE, ANTONIO;LUE', ALESSANDRO;V. Paruscio"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/762467,eng,2012,Nessuno,internazionale,-,-,-,"Screw the System: Explorations of Spaces, Games and Politics through Sexuality and Technology",-,-,"San Francisco, USA",Arse Elektronika 2012,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"MAIOCCHI, MARCO;PILLAN, MARGHERITA;RADETA, MARKO;RIGHI RIVA, PIETRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/764746,eng,2012,Esperti anonimi,internazionale,"Umberto Allemandi & C.,",Torino,-,Innovation in Design Education. Proceedings of the Third International Forum of Design as a Process,-,-,Politecnico di Torino,Third International Forum of Design as a Process,,design practice; design experience; design context; design: verbal and visual tought; design theory,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"PENATI, ANTONELLA VALERIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/765343,eng,2012,Esperti anonimi,internazionale,-,-,-,Northern World Mandate,-,-,"Helsinki, Finlandia",Cumulus Conference Northern World Mandate 2013,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"CANTU', DARIA;CORUBOLO, MARTA;SIMEONE, GIULIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/765358,eng;ita,2012,Nessuno,internazionale,Universidade Lusíada,Lisbona,-,Cor,-,-,Lisbona,Segundo Seminário Internacional da Cor,,-,04.1 Contributo in Atti di convegno,none,1,"BOERI, CRISTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/765362,ita,2012,Nessuno,nazionale,Publicomm,Savona,-,"Luce, colore, materiali: progettare gli spazi pubblici",-,-,"Torino, Padova, Bari, Roma, Milano","Luce, colore, materiali: progettare gli spazi pubblici",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"BOERI, CRISTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/765639,eng,2012,Nessuno,internazionale,-,-,-,Proceedings of 10° P&D Design . Brazilian Conference in Research and Development in Design,-,-,Sao Luis do Maranhao/MA - Brazil,10° P&D Design . Brazilian Conference in Research and Development in Design,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"NUNES, VIVIANE;ZURLO, FRANCESCO;MACHADO, J."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/765640,eng,2012,Nessuno,internazionale,-,-,-,Proceedings of 1º CIMODE - International Conference in Fashion and Design,-,-,Guimaraes/Portugal,1º CIMODE - International Conference in Fashion and Design,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"NUNES, VIVIANE;ZURLO, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/765767,eng,2012,Nessuno,internazionale,Blucher,-,-,"Design Frontiers: Territories, Concepts, Technologies / Proceedings of the 8th Conference of the International Committee for Design History & Design Studies - ICDHS 2012",-,-,Sao Paulo/SP - Brazil,8th Conference of the International Committee for Design History & Design Studies - ICDHS 2012,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"NUNES, VIVIANE;ZURLO, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/766211,eng,2012,Esperti anonimi,internazionale,ITS World Congress,Vienna,AUT,19th ITS World Congress,-,-,Vienna,19th ITS World Congress,,Hazmat; Hazardous materials; Dangerous goods; Transport risk; Tracking; Tracing; Risk analysis.,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,4,"STUDER, LUCA PASINO;GANDINI, PAOLO;BORGHETTI, FABIO;V. Todeschini"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/766442,eng,2012,Nessuno,internazionale,-,-,-,DRS 2012 Bangkok,-,-,"Bangkok, Thailand",DRS 2012 Bangkok,,"service design; healthcare prevention; social media; mobile phones; video
diaries; location based platform and context awareness",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"ARSLAN, PELIN;COSTA, FIAMMETTA CARLA ENRICA;CASALEGNO, FEDERICO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/766486,eng,2012,Nessuno,internazionale,-,-,-,Transitional Spaces,-,-,"Istanbul, Turchia",Transitional Spaces,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"GALLUZZO, LAURA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/869982,eng,2012,Nessuno,internazionale,-,-,-,"Sustainable Innovation 2012, Resource Efficiency, Innovation and Lifestyles, Towards Sustainable Product Design:",-,-,"Bonn, Germany","Sustainable Innovation 2012, Resource Efficiency, Innovation and Lifestyles, Towards Sustainable Product Design: 17th International Conference,",,-,04.1 Contributo in Atti di convegno,none,5,"MICOCCI, MASSIMO;SALVIA, GIUSEPPE;Ostuzzi F.;ROGNOLI, VALENTINA;LEVI, MARINELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/982946,eng,2012,-,internazionale,-,-,-,Northern World Mandate,-,-,"Helsinki, Finlandia",Cumulus Conference Northern World Mandate 2012,,"Housing, collaboration, product-service system, participatory design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"ROGEL, LIAT;CORUBOLO, MARTA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/683818,eng,2012,"Sì, ma tipo non specificato",-,-,-,-,4th Annual MEDRC workshop - Present & Future needs & Systems solutions,-,STAMPA,"Cambridge, MA, USA",4th Annual MEDRC Workshop,,-,04.2 Abstract in Atti di convegno,none,5,"FANELLI, ANDREA;SIGNORINI, MARIA GABRIELLA;G. Magenes;ANDREONI, GIUSEPPE;T. Heldt"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/687786,eng,2012,"Sì, ma tipo non specificato",-,"￼￼￼￼￼￼￼￼￼￼Universitade de Minas Gerais, Belo Horzionte, Brazil",Belo Horizonte,BRA,Design Process: Diversity: Design/ Humanities,-,ELETTRONICO,"Belo Horizonte, Brazil",IV International Forum of Design as a process,,-,04.2 Abstract in Atti di convegno,none,3,"DESERTI, ALESSANDRO;RIZZO, FRANCESCA;SEASSARO, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/687787,eng,2012,"Sì, ma tipo non specificato",-,Universitade de Minas Gerais Belo Horizonte Brazil,Belo Horizonte,BRA,Design Process: Diversity: Design/ Humanities,-,ELETTRONICO,Belo Horizonte,IV International Forum of Design as a Process Design as,,-,04.2 Abstract in Atti di convegno,none,2,"DESERTI, ALESSANDRO;RIZZO, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/690213,eng,2012,Esperti anonimi,-,"Barbacena, MG: EdUEMG",Belo Horizonte,BRA,Diversity: design / humanities,-,-,Belo Horizonte,4th International Forum of Deign as a Process,,design; narrazione; teatro; scenografia; allestimento; prodotto,04.2 Abstract in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CELI, MANUELA;TROCCHIANESI, RAFFAELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/690215,eng,2012,Esperti anonimi,-,"Barbacena, MG: EdUEMG",Belo Horizonte,BRA,Diversity: Design / humanities,-,-,Belo Horizonte,4th International Forum of design as a Process,,knowledge visualization; visual  mapping; iconologia,04.2 Abstract in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"TROCCHIANESI, RAFFAELLA;CIUCCARELLI, PAOLO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/691471,eng,2012,Nessuno,-,"Universidade do Estado de Minas Gerais - UEMG, Belo Horizonte, Minas Gerais, Brasile","Barbacena, Minas Gerais, Brazile",BRA,Diversity: Design/Humanities - 4th International Forum of Design as a Process,-,ELETTRONICO,"Belo Horizonte, Minas Gerais, Brasile",Diversity: Design/Humanities - 4th International Forum of Design as a Process,,-,04.2 Abstract in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"VACCA, FEDERICA;COLOMBI, CHIARA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/710145,eng,2012,Nessuno,-,-,-,-,Proceedings of the 43rd Annual Conference of the Italian Operational Research Society (AIRO 2012),-,STAMPA,Vietri sul Mare (Salerno),43rd Annual Conference of the Italian Operational Research Society (AIRO 2012),,-,04.2 Abstract in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"BRUGLIERI, MAURIZIO;COLORNI VITALE, ALBERTO;LUE', ALESSANDRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/762456,eng,2012,Nessuno,-,EdUEMG,"Barbacena, Minas Gerais",BRA,Scientific Thematic Meeting of the Latin Network for the Development of Design Process: Diversity: Design/ Humanities – Abstracts /,-,-,"Belo Horizonte, Minas Gerais",Diversity: Design/ Humanities. 4th Forum of Design as a Process,,-,04.2 Abstract in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"GIUNTA, ELENA ENRICA;REBAGLIO, AGNESE;RUFFA, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/763906,eng,2012,Comitato scientifico,-,Umberto Allemandi & C,Torino,ITA,"Innovation in Design Education. Theory, research and processes to and from a Latin perspective",-,STAMPA,Politecnico di Torino,Third International Forum of Design as a Process,,Basic Design; Teaching Experience; Methodology; Material Design; Italian Design Culture,04.2 Abstract in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"FERRARA, MARIA RITA;S. lucibello"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.2 Abstract in Atti di convegno,http://hdl.handle.net/11311/766131,eng,2012,Nessuno,-,-,-,-,Proceedings of the Forum d'Avignon,-,-,Avignon,Forum d'Avignon,,-,04.2 Abstract in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"BIANCHINI, MASSIMO;BOLZAN, PATRIZIA;GALLUZZO, LAURA;SELLONI, DANIELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1019510,eng,2013,-,internazionale,IEEE Xplore,-,-,2013 IEEE Tsinghua International Design Management Symposium (TIDMS),-,-,"Shenzhen, China",2013 IEEE Tsinghua International Design Management Symposium (TIDMS),,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"GALLI, FRANCESCO;MAIOCCHI, MARCO MARIA;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1019513,eng,2013,-,internazionale,-,-,-,Design Learning for Tomorrow,-,-,"Oslo, Norway",DRS Cumulus Oslo 2013,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"PILLAN, MARGHERITA;MAIOCCHI, MARCO MARIA;RADETA, MARKO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1019515,eng,2013,-,internazionale,-,-,-,Design Learning for Tomorrow,-,-,"Oslo, Norway",DRS Cumulus Oslo 2013,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"PILLAN, MARGHERITA;SUTEU, IRINA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1035614,eng,2013,Esperti anonimi,internazionale,-,-,-,Crafting the Future,-,-,Gothenburg,10th European Academy of Design Conference - Crafting the Future,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,A. Rebaglio;E. Giunta
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1055382,eng,2013,Esperti anonimi,internazionale,ACM,New York,USA,1st International Workshop on Graph Data Management Experiences and Systems,-,-,"New York, NY, usa","1st International Workshop on Graph Data Management Experiences and Systems, GRADES 2013 - Co-located with SIGMOD/PODS 2013",,"Graph databases, Neo4j, Social networks, Temporal networks, Computer Graphics and Computer-Aided Design, Information Systems",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"Cattuto, Ciro;Panisson, André;Quaggiotto, Marco;Averbuch, Alex"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1055383,ita,2013,Comitato scientifico,nazionale,Forum PA,Roma,ITA,La smart city al servizio del cittadino - la call for papers di smart cities exhibition 2013,-,-,Bologna,Smart City Exhibition 2013,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,M. Quaggiotto;S. Scacchetti;D. Bloise
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/657557,ita,2013,Comitato scientifico,nazionale,Artegrafica PLS,Roma,ITA,Atopie,-,-,Napoli,Atopie - Quinto seminario di Studi - Idee per la rappresentazione,,disegno; progetto; architettura urbana,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"ROSSI, MICHELA;Giampiero Mele"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/688980,eng,2013,Nessuno,internazionale,Bookwell Oy,Porvo,FIN,Proceedings of the  12th International Docomomo Conference. The survival of Modern. From Coffee Cup to Plan,-,-,Espoo (Helsinki),International Docomomo Conference. The survival of Modern. From Coffee Cup to Plan,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"FERABOLI, MARIA TERESA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692330,eng,2013,Nessuno,internazionale,-,-,-,Projecting Design 2012 -­‐ Global Design Bridge,-,-,Santiago - Chile,Projecting Design 2012 -­‐ Global Design Bridge,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"CONTI, GIOVANNI MARIA;GALLI, FRANCESCO;B. Pino"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/718345,eng,2013,Nessuno,internazionale,-,-,-,Crafting the Future - 10th EUROPEAN ACADEMY OF DESIGN CONFERENCE,-,-,Gothenburg,Crafting the Future,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"VILLARI, BEATRICE;LUE', ALESSANDRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/718346,eng,2013,Nessuno,internazionale,-,-,-,Crafting the Future - 10th EUROPEAN ACADEMY OF DESIGN CONFERENCE,-,-,Gothenburg,Crafting the Future,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"MORTATI, MARZIA;VILLARI, BEATRICE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/718347,eng,2013,Nessuno,internazionale,-,-,-,Crafting the Future - 10th EUROPEAN ACADEMY OF DESIGN CONFERENCE,-,-,Gothenburg,Crafting the Future,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"MAFFEI, STEFANO;MORTATI, MARZIA;VILLARI, BEATRICE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/721550,eng,2013,Comitato scientifico,internazionale,"DIGITAL FASHION 20131ST INTERNATIONAL CONFERENCE ON DIGITALFASHIONMAY 16-17 2013LONDON, UKPROCEEDINGSEdited byDigital Fashion 2013 SecretariatFashion Digital Studio, London College of FashionUniversity of the Arts London",-,-,Proceedings of the International Conference “Digital Fashion 2013”,-,-,"London College of Fashion, University of the Arts London",Digital Fashion 2013,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CONTI, GIOVANNI MARIA;R. Bacchini;F. Aradelli;L. Ascari"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/728968,eng,2013,Esperti anonimi,internazionale,"KU Leuven, LUCA",Ghent,BEL,"Proceedings of the Conference ""Knowing (by) Designing""",-,-,Brussels,Knowing (by) Designing,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"ILINCIC, NATASA;RAMPINO, LUCIA ROSA ELENA"
