dc.relation.medium,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,item.collection,dc.publisher.place,dc.identifier.uri,dc.publisher.country,dc.title,dc.relation.conferenceplace,dc.subject.keywords,dc.description.numberofauthors,item.openaireRights,dc.language.iso,dc.publisher.name,dc.relation.conferencename,dc.description.allpeople,dc.subject.keywordsita
-0,2006,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/664578,-0,European Logo Design Award (EULDA 06),Milano,-0,1,-0,eng;ita,"Eulda Books, Cacao Design,",European Logo Design Award 2006 (EULDA 06),Francesco E. Guida,-0
-0,2006,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/664580,-0,Award of Excellence «Communication Arts» (Usa),USA,-0,1,none,eng,Communication Arts Magazine,47° Annual di Graphic Design,Francesco E. Guida,-0
-0,2006,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/667394,-0,"Concorso di Progettazione, Project Financing, Metro D Roma, Fermate Ojetti e Pugliese e Nuovo Salario.","Roma, Italia",-0,6,-0,ita,Roma Metropolitane S.r.l.,"Concorso di Progettazione, Project Financing",Mandataria Società Italiana per le Condotte D'acqua; Mandante Impresa Pizzarotti &C.; Responsabile del progetto Geodeta S.p.a.; G. Fioravanti; F. Galdo; G.Pierluisi.,-0
-0,2007,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958784,-0,"Gli impressionisti, i simbolisti e le avanguardie. 120 capolavori dal museo nazionale di Belgrado.",-0,-0,1,info:eu-repo/semantics/openAccess,ita;eng,-0,-0,R.Gaddi,-0
-0,2007,07 ALTRO::07.05 Esposizione,-0,-0,-0,-0,http://hdl.handle.net/11311/696728,-0,Transforme,-0,-0,4,none,-0,-0,-0,Conti G.; Bonapace D.; Botta F.; Burani S.,-0
-0,2007,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/692361,-0,"Mostra e giornata di studio: ""Lo Studio-Museo Achille Castiglioni della Triennale di Milano. Scenari di fruizione e prospettive di valorizzazione"" presso la Triennale di Milano - settembre 2007",-0,Studio Museo Achille Castiglioni; Triennale di Milano; ricerca d.cult; design per i beni culturali,3,info:eu-repo/semantics/closedAccess,-0,-0,-0,S. Annicchiarico; M. Parente; A. Seassaro,-0
-0,2007,07 ALTRO::07.12 Altro,internazionale,-0,-0,Vienna,http://hdl.handle.net/11311/533866,AUT,Ernst von Glasersfeld and the Italian Operative School,-0,Ricerca operativa,2,none,eng,Univie,-0,S. Pizzocaro; R. Glanville,-0
-0,2007,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/565395,-0,La ricerca del piacere,-0,-0,1,-0,-0,-0,-0,Guida  F.E.,-0
-0,2007,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/667288,-0,"Gabriele Pierluisi. Paesaggi urbani. Marte, Roma 2007-08",-0,Paesaggio urbano; MARTE; Digitale Caldo; Pittura e disegno; Pieghe; spazio.,5,info:eu-repo/semantics/closedAccess,-0,-0,-0,Massimiliano Fuksas; Camilla Pignatti Morano; Marta Fegiz; Laura De Iudicibus; Gabriele Pierluisi.,-0
-0,2007,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/667393,-0,"Concorso Internazionale di progettazione a Procedura ristretta  “MENO È PIÙ 2”, Servizi e spazi pubblici in Roma nei Programmi di Trasformazione Urbanistica. Tor Marancia Area del Divino Amore.","Roma, Italia",-0,6,none,ita,Comune di Roma – Assessorato alle Politiche della Programmazione e Pianificazione del Territorio – Roma Capitale – Dipartimento VI – U.O. 11 – Interventi di Qualità.,Concorso Internazionale di progettazione a Procedura ristretta,E. Avallone; G. Forte; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari,-0
