dc.type.referee,item.collection,dc.subject.keywords,dc.language.iso,dc.description.numberofauthors,dc.title,dc.description.allpeople,dc.relation.medium,dc.publisher.name,dc.publisher.country,dc.date.issued,dc.identifier.uri,dc.subject.keywordsita,item.openaireRights,dc.type.full,dc.publisher.place,dc.type.circulation
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Comunicazione coordinata per i beni culturali: 4 progetti italiani,Guida F. E.,-0,Valentino Editore,ITA,2003,http://hdl.handle.net/11311/565456,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Casamicciola Terme (NA),nazionale
-0,-0,abitare persone tecniche,ita,2,Nuove specie di spazi,S. Piardi; I. Farè,-0,Liguori,-0,2003,http://hdl.handle.net/11311/659931,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Napoli,-0
-0,-0,arte ambientale; arte ambientata; ready made; object trouvé; parco di scultura; nouveau réalisme,ita,7,Il Giardino di Daniel Spoerri,A.Mazzanti; I.Beniamino; E.Crispolti; A.Jouffroy; H.Martin; A.Schwarz; D.Spoerri,STAMPA,Gli Ori,ITA,2003,http://hdl.handle.net/11311/690853,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Prato,-0
-0,-0,"interaction design, web design, digital design",ita,1,La progettazione web. Il design per la rete tra esperienza e interfacce,G. Brugnoli,STAMPA,Edizioni Poli.Design,ITA,2004,http://hdl.handle.net/11311/255346,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,3,E-content design - orizzonti di ricerca per la multimedialita' interattiva,M. Aureggi; M. Bertolo; M. Pillan,-0,Edizioni Poli.Design,-0,2004,http://hdl.handle.net/11311/257899,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Lo studio televisivo: macchina luogo metafora. Le professioni della televisione,M. Galbiati; F. Galli,-0,Edizioni Poli.Design,-0,2004,http://hdl.handle.net/11311/269662,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,-0,-0,ita,4,"Sociologia. Concetti, metodi, temi di scienze sociali",P. VOLONTE'; C. LUNGHI; M. MAGATTI; E. MORA,-0,Einaudi scuola,-0,2004,http://hdl.handle.net/11311/504079,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,-0,-0,-0,2,Design & Beni Culturali. La cultura del progetto nella valorizzazione del bene culturale,R. TROCCHIANESI; F. CELASCHI,-0,Polidesign,ITA,2004,http://hdl.handle.net/11311/504345,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,ita,2,Il bit e la tartaruga,M. PILLAN; SANCASSANI S.,-0,APOGEO,ITA,2004,http://hdl.handle.net/11311/504944,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Design Multiverso. Appunti di fenomenologia del design,BERTOLA P.; E. MANZINI,-0,Edizioni PoliDesign,ITA,2004,http://hdl.handle.net/11311/505066,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
