title,author,year,type,keywords,cluster
The new generation. The design role in the new generation world,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO A.",2007,06.1 Curatela,-,nocluster
The new generation: the design role in the new generation world,"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE",2007,06.1 Curatela,-,nocluster
In pubblico. Azioni e idee degli anni settanta in Italia,"M. Fochessati;PIAZZA, MARIO;S. Solimano",2007,06.1 Curatela,-,nocluster
That’s Poli. Polimi at That’s Design,"PIAZZA, MARIO;M. Pelizzari",2007,06.1 Curatela,-,nocluster
Renzo Piano. Le città visibili,"IRACE, FULVIO;FERABOLI, MARIA TERESA",2007,06.1 Curatela,Renzo Piano; Architettura contemporanea,nocluster
Investigations into Decor and Decus / Indagini tra Decor e Decus,"CRIPPA, DAVIDE;DI PRETE, BARBARA",2007,06.1 Curatela,-,nocluster
La creatività nelle professioni,"VOLONTE', PAOLO GAETANO;PEDRONI, MARCO LUCA",2008,06.1 Curatela,-,nocluster
La creatività diffusa. Culture e mestieri della moda oggi,"VOLONTE', PAOLO GAETANO",2008,06.1 Curatela,-,nocluster
Max Weber. La scienza come professione,"VOLONTE', PAOLO GAETANO",2008,06.1 Curatela,-,nocluster
"Design, Research, Maps. Prospettive della ricerca universitaria in design in Italia. 2003-2007","MAFFEI, STEFANO;BERTOLA, PAOLA",2008,06.1 Curatela,-,nocluster
L'impresa di successo. Il Design e la competitività,"RAMPINO, LUCIA ROSA ELENA",2008,06.1 Curatela,-,nocluster
System Innovation for Sustainability 1. Perspectives on Radical Changes to Sustainable Consumption and Production,"VEZZOLI, CARLO ARNALDO;A. TUKKER;M. CHARTER;E. STØ;M. M. ANDERSEN",2008,06.1 Curatela,-,nocluster
Argomenti di ergonomia. Un glossario. Vol. I,"PIZZOCARO, SILVIA LUISA;FIGIANI, MAURIZIO",2008,06.1 Curatela,-,nocluster
Housing in Europe and in China,"PIARDI, SILVIA ELVIRA MARIA;MANFREDINI, MANFREDO;BOSONI, GIAMPIERO",2008,06.1 Curatela,Housing; interior design; new scenarios,nocluster
"Place and Themes of Interiors, Contemporary Research Studies","BASSO PERESSUT, GIAN LUCA;FORINO, IMMACOLATA CONCEZIONE;POSTIGLIONE, GENNARO;SCULLICA, FRANCESCO",2008,06.1 Curatela,-,nocluster
The Hospitable city,"FASSI, DAVIDE;SCULLICA, FRANCESCO",2008,06.1 Curatela,-,nocluster
Bruno Munari,"FINESSI, GIUSEPPE;M. Meneguzzo",2008,06.1 Curatela,-,nocluster
Progetti per lo sviluppo del territorio. Marketing strategico dell'Oltrepò Mantovano,"CASONI, GIORGIO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA",2008,06.1 Curatela,Marketing territoriale; valorizzazione beni culturali; distretti culturali; brand territoriale,nocluster
Brand reset. Il caso Framesi,"COLLINA, LUISA MARIA VIRGINIA;MANCIARACINA, ANDREA GIUSEPPE;TOLINO, UMBERTO",2008,06.1 Curatela,-,nocluster
Casa per tutti. Abitare la città globale,"IRACE, FULVIO;FERABOLI, MARIA TERESA",2008,06.1 Curatela,case  prefabbricate; prefabbricazione leggera,nocluster
HELL PARADISE SHOPPING,"CAUTELA, CABIRIO",2009,06.1 Curatela,shopping; consumi.,nocluster
Designing Connected places,"LUPO, ELEONORA;C. Campagnaro",2009,06.1 Curatela,design; local development; territorial and cultural asset,nocluster
Design Follows Materials,"FERRARA, MARIA RITA;S. LUCIBELLO",2009,06.1 Curatela,materiali; design; ricerca sui materiali; sperimentazione progettuale; innovazione,nocluster
"Master in Territorio e Architettura Sostenibili: Seminari Internazionali e progetti dei gruppi di ricerca. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 10","PADOVANO G;BLASI C;NEBULONI, ATTILIO;ANASTASIO I;ARRIGONI V.",2009,06.1 Curatela,-,nocluster
Biografie di oggetti | Storie di cose,"A. Burtscher;D. Lupo;A. Mattozzi;VOLONTE', PAOLO GAETANO",2009,06.1 Curatela,biography of the objects; cultural production; cultural consumption,nocluster
Design a Como. L'impatto del sistema design politecnico nel distretto comasco,"DE PAOLIS, ROBERTO",2009,06.1 Curatela,design; didattica; ricerca; sistemi produttivi locali; distretti industriali; formazione; legno arredo; tessile; disegno industriale; creatività; innovazione,nocluster
Designing Designers: Where Does Light Move To? Lighting Design Innovation Scenarios.,"ROSSI, MAURIZIO",2009,06.1 Curatela,Design; Lighting; Products,nocluster
Il Sistema Design Italia per la valorizzazione dei beni culturali,"PARENTE, MARINA;LUPO, ELEONORA",2009,06.1 Curatela,-,nocluster
Design Research Maps. Prospettive della ricerca universitaria in design in Italia,"BERTOLA, PAOLA;MAFFEI, STEFANO",2009,06.1 Curatela,Design e Ricerca; Innovazione; Nuovo Made in Italy; PhD Design; Design,nocluster
DESIGN E CONTINUITA' COMPETITIVA. Creatività e strategia per affrontare il passaggio generazionale,"VIGNATI, ARIANNA",2009,06.1 Curatela,DESIGN; PMI; CONTINUITA' COMPETITIVA; PASSAGGIO GENERAZIONALE; STRATEGIA; SCENARI; NUOVO MADE IN ITALY; TRAIETTORIE DI INNOVAZIONE,nocluster
Pratiche sostenibili. Itinerari del design nella ricerca italiana,"VEZZOLI, CARLO ARNALDO;Veneziano R.",2009,06.1 Curatela,-,nocluster
Another Med_Another Design,"A. Can Ozcan;FERRARA, MARIA RITA",2009,06.1 Curatela,-,nocluster
Sustainable mobility,"FASSI, DAVIDE;GIUNTA, ELENA ENRICA;REBAGLIO, AGNESE",2009,06.1 Curatela,-,nocluster
La didattica del disegno nei corsi di laurea in design. Giornata di studio. 27 maggio 2009.,"AMORUSO, GIUSEPPE;BISTAGNINO, ENRICA;BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;COCCHIARELLA, LUIGI;GUIDI, GABRIELE;PIERLUISI, GABRIELE;ROSSI, MICHELA",2009,06.1 Curatela,Didattica del disegno; Disegno; Design; Dipartimento INDACO; Corsi di Studio; Facoltà del Design; Università.,nocluster
AD HONOREM,"GALBIATI, MARIA LUISA",2009,06.1 Curatela,-,nocluster
Giardino comanda color,"MAZZANTI, ANNA",2009,06.1 Curatela,arte ambientale; parchi di scultura; arte e bambini; arte e paesaggio,nocluster
"Mobili e Collaborativi. Telefoni mobili, servizi digitali, e dinamizzazione socioculturale.","MANZINI, EZIO;PILLAN, MARGHERITA;BUGANZA, TOMMASO;G. Ferri;BIANCHINI, MASSIMO",2009,06.1 Curatela,-,nocluster
Designing Designers: Office and  Workplaces for Knowledge workers,"SCULLICA, FRANCESCO;SCHOONBRODT, ANNE HUBERT EUGENIE",2009,06.1 Curatela,-,nocluster
Opening Soon,"COLLINA, LUISA MARIA VIRGINIA;L. Pollini",2009,06.1 Curatela,-,nocluster
Made in Cassina (ed. fr.),"BOSONI, GIAMPIERO",2009,06.1 Curatela,Design; italian design; furniture design; Gio Ponti; transatlantici; Carlo De Carli; Vico Magistretti; Gianfranco Frattini; Ico Parisi; Mario Bellini; Gaetano Pesce; Philippe Starck; Paolo Deganello..,nocluster
"Nullaosta. Grafica, confini, relazioni","GUIDA, FRANCESCO ERMANNO;G. CHIA;L. ROSCINI;M. SIGNORILE",2009,06.1 Curatela,-,nocluster
Mendini,"FINESSI, GIUSEPPE",2009,06.1 Curatela,-,nocluster
Angelo Mangiarotti. Scolpire/Costruire,"FINESSI, GIUSEPPE",2009,06.1 Curatela,-,nocluster
"III Congreso Internacional de Sinestesia, Ciencia y Arte","M. J. De Córdoba;E. M. Hubbard;RICCO', DINA;S. A. Day",2009,06.1 Curatela,Synesthesia; Perception; Creativity; Neuroscience,nocluster
IndossaME. Il design e le tecnologie indossabili,"CANINA, MARIA RITA",2010,06.1 Curatela,-,nocluster
Argomenti di ergonomia. Un glossario (Vol. 2),"PIZZOCARO, SILVIA LUISA;FIGIANI, MAURIZIO",2010,06.1 Curatela,Studi sull'utente; Studi di ergonomia; Design antropo-centrico,nocluster
"AdvanceDesign. Visioni, percorsi e strumenti per predisporsi all'innovazione continua.","CELI, MANUELA",2010,06.1 Curatela,-,nocluster
MetaModa. Percorsi di ricerca per il design del prodotto moda,"BERTOLA, PAOLA;COLOMBI, CHIARA",2010,06.1 Curatela,-,nocluster
Notes on Doctoral Research in Design. Contributions from the Politecnico di Milano,"GUERRINI, LUCA",2010,06.1 Curatela,Design Research,nocluster
Codex Atlanticus. Macchine per l'architettura e il territorio. Disegni di Leonardo dal Codice Atlantico,"MARANI, PIETRO;CORDERA, PAOLA",2010,06.1 Curatela,Leonardo da Vinci; disegni; tecnologia; architettura; macchine,nocluster
Leonardo da Vinci. Il Musico,"MARANI, PIETRO",2010,06.1 Curatela,Leonardo; dipinti; Ambrosiana; musica,nocluster
"Sustainability in design: now! Challenges and opportunities for design research, education and practice in the XXI century.","CESCHIN, FABRIZIO;VEZZOLI, CARLO ARNALDO;J. Zhang",2010,06.1 Curatela,-,nocluster
Colore e colorimetria contributi multidisciplinari Vol VI,"ROSSI, MAURIZIO",2010,06.1 Curatela,-,nocluster
Colore. quaderni di cultura e progetto del colore / notes on colour culture and design,"BOERI, CRISTINA",2010,06.1 Curatela,-,nocluster
Innovazione nel packaging design. Riflessioni e strumenti.,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK",2010,06.1 Curatela,-,nocluster
Latitudine 45°40'80'' - Longitudine 9°15'20''. Milanofiori Nord,"BARBARA, ANNA;L. Molinari",2010,06.1 Curatela,-,nocluster
Luigi Ferrario. Paesaggi costruiti,"CIAGA', GRAZIELLA LEYLA;FERABOLI, MARIA TERESA",2010,06.1 Curatela,Architettura contemporanea; Luigi Ferrario,nocluster
"La semiotica e il progetto 2. Spazi, oggetti, interfacce","C. Bianchi;F. Montanari;ZINGALE, SALVATORE",2010,06.1 Curatela,-,nocluster
"Novecento Sedotto, il fascino del Seicento fra le due guerre","MAZZANTI, ANNA;L. Mannini;V. Gensini",2010,06.1 Curatela,-,nocluster
"Ospiti Inaspettati. Case di ieri, design di oggi","FINESSI, GIUSEPPE",2010,06.1 Curatela,-,nocluster
Inventario 01,"FINESSI, GIUSEPPE",2010,06.1 Curatela,-,nocluster
Luigi Ferrario. Paesaggi costruiti,"CIAGA', GRAZIELLA LEYLA;FERABOLI, MARIA TERESA",2010,06.1 Curatela,-,nocluster
Design for Services,"MERONI, ANNA;SANGIORGI, DANIELA",2011,06.1 Curatela,Service Design; Design for Services; Design for Sustainability; Strategic Design; Product Service System Design,nocluster
"On the road. Bob Noorda, il grafico del viaggio (titolo inglese ""On the road. Bob Noorda: travelling with a graphic designer"").","GUIDA, FRANCESCO ERMANNO;FERRARA, CINZIA",2011,06.1 Curatela,Design della comunicazione; progetto grafico; identità visiva; editoria.,nocluster
La ricerca nel disegno di design. giornata di studio 20 ottobre 2010,"AMORUSO, GIUSEPPE;BISTAGNINO, ENRICA;BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;GUIDI, GABRIELE;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE",2011,06.1 Curatela,Disegno; Rappresentazione; Design del Prodotto; Design della Moda; Design della Comunicazione; Design degli Interni; Design dei Beni culturali,nocluster
"Il segno continuo. Simonetta Ferrante.Grafica tra arte, calligrafia e design","GUIDA, FRANCESCO ERMANNO;Lorenzo Grazzani",2011,06.1 Curatela,-,nocluster
Type Design. Esperienze progettuali tra teoria e prassi.,"GUIDA, FRANCESCO ERMANNO;ILIPRANDI, GIANCARLO",2011,06.1 Curatela,-,nocluster
Comunicazione a misura d'uomo,"PILLAN, MARGHERITA",2011,06.1 Curatela,-,nocluster
"Realtà, simulazione e progetto. Il ruolo del modello","AMORUSO, GIUSEPPE;Enica Bistagnino;BREVI, FAUSTO;Mauro Cecconello;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE",2011,06.1 Curatela,modello; modellazione digitale; modelli del colore; disegno; reverse modeling; virtual prototyping,nocluster
"Realtà, simulazione e progetto. Il ruolo del modello","AMORUSO, GIUSEPPE;Enica Bistagnino;BREVI, FAUSTO;Mauro Cecconello;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE",2011,06.1 Curatela,disegno; modello; design.,nocluster
Franco Albini,"BOSONI, GIAMPIERO",2011,06.1 Curatela,Albini; design; interior design; mobili; architettura d'interni; Helg; Cassina; Poggi; Arflex,nocluster
Color and Colorimetry Multidisciplinary Contributions,"ROSSI, MAURIZIO",2011,06.1 Curatela,-,nocluster
Colore e colorimetria contributi multidisciplinari,"ROSSI, MAURIZIO",2011,06.1 Curatela,-,nocluster
Cruciale,"FINESSI, GIUSEPPE",2011,06.1 Curatela,-,nocluster
Di vaso in fiore,"FINESSI, GIUSEPPE",2011,06.1 Curatela,-,nocluster
Inventario 02,"FINESSI, GIUSEPPE",2011,06.1 Curatela,-,nocluster
Inventario 03,"FINESSI, GIUSEPPE",2011,06.1 Curatela,-,nocluster
"Per l’esposizione, mi raccomando…!Milano e l’Esposizione internazionale del Sempione del 1906 nei documenti del Castello Sforzesco.","RICCI, GIULIANA;CORDERA, PAOLA",2011,06.1 Curatela,Esposizioni; Milano; 1906,nocluster
Leonardo: il Genio il Mito,"MARANI, PIETRO;PEDRETTI, C.;SALVI, P.;VITULO, C.;BARILLI, R.",2011,06.1 Curatela,Leonardo; Mito; Disegni; Pittura; Fortuna,nocluster
Altre figure. Intorno alle figure di argomentazione,"BUCCHETTI, VALERIA LUISA",2011,06.1 Curatela,-,nocluster
L’oggetto nell’arte contemporanea. Uso e riuso,"E. Crispolti;MAZZANTI, ANNA",2011,06.1 Curatela,oggetto; ready made; oggettori; riuso; estetica dell'oggetto; object trouvé,nocluster
PROGETTARE UN GIOCO NON E' UN GIOCO,"FOIS, LUCA;VIGNATI, ARIANNA",2011,06.1 Curatela,-,nocluster
"COMUNICARE IN MOVIMENTO, COMMUNICATION IN MOTION","BRUNO, DAVIDE MARIA",2011,06.1 Curatela,-,nocluster
"Abitare. 50 anni di design: case, architetture, oggetti, fotografie, mode, design, viaggi – 1961-2011","PIAZZA, MARIO",2011,06.1 Curatela,-,nocluster
"Realtà, simulazione e progetto. Il ruolo del modello","AMORUSO, GIUSEPPE;BISTAGNINO, ENRICA;BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;PIERLUISI, GABRIELE;ROSSI, MICHELA;RUSSO, MICHELE",2011,06.1 Curatela,Disegno; modello; progetto; colore; rappresentazione,nocluster
Inventario 04,"FINESSI, GIUSEPPE",2011,06.1 Curatela,-,nocluster
Design for innovative communities,"FASSI, DAVIDE;REBAGLIO, AGNESE",2011,06.1 Curatela,GIDE; design; communities; innovazione; internazionale,nocluster
Emilio Ambasz.Invenciones: arquitectura y Diseno,"IRACE, FULVIO",2011,06.1 Curatela,Catalogo della mostra al Museo Nacional  de Arte Reina Sofia; Madrid; dicembre 2011,nocluster
MuVi3. Video and moving image on synesthesia and visual music / MuVi3. Vídeo e imagen en movimiento sobre sinestesia y música visual,"RICCO', DINA;M. J. De Córdoba",2012,06.1 Curatela,-,nocluster
