title,author,year,type,keywords,cluster
“Nuovo Umanesimo” di Volterra 73,"MAZZANTI, ANNA",2015,02.1 Contributo in Volume,"arte pubblica, arte anni 70, arte ambientale",nocluster
The Image of Historic Urban Landscapes: Representation Codes,"AMORUSO, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
"Las herramientas geométricas, proyectivas y visuales en la era digital / Gli strumenti geometrici, proiettivi e visuali per il progetto, nell’era del digitale / Geometric, visual and projective tools for design, in the digital age","AMORUSO, GIUSEPPE;SDEGNO, ALBERTO;Riavis, Veronica",2016,02.1 Contributo in Volume,-,nocluster
Between Art and Literature: The Fortunes of Glass and Stained Glass  in the Symbolist Period,"MAZZANTI, ANNA",2016,02.1 Contributo in Volume,"Stained Glass, design, Symbolim",nocluster
From “Fuoco” to “Notturno” The Interpretation of Light and Shade in D’Annunzio’s Work by his Friends Among Italian Symbolist Illustrators,"MAZZANTI, ANNA",2016,02.1 Contributo in Volume,-,nocluster
La natura relazionale degli artefatti. Processi di significazione della cultura contemporanea,"COLOMBI, CHIARA;LUPO, ELEONORA",2016,02.1 Contributo in Volume,-,nocluster
Bruno Munari e “L’interazione del colore”,"MAZZANTI, ANNA",2014,02.1 Contributo in Volume,-,nocluster
"Arte sacra di transizione, tra XIX e XX secolo","MAZZANTI, ANNA",2015,02.1 Contributo in Volume,-,nocluster
Service Design in Public Sector: boosting innovation trhough design,"DESERTI, ALESSANDRO;Rizzo, F.;COBANLI, ONUR MÜSTAK",2016,02.1 Contributo in Volume,-,nocluster
Design and the transformation of cities,"DESERTI, ALESSANDRO",2016,02.1 Contributo in Volume,-,nocluster
Verso idee e ideali,"MERONI, ANNA",2016,02.1 Contributo in Volume,Design dei Servizi,nocluster
Social innovation business models: Coping with antagonistic objectives and assets,"KOMATSU, TAMAMI TIFFANY;DESERTI, ALESSANDRO;Rizzo, Francesca;CELI, MANUELA;Alijani, Sharam",2017,02.1 Contributo in Volume,-,nocluster
Fare Impresa in Modo Sostenibile si Può,"MERONI, ANNA;Guzzetti, Giuseppe",2016,02.1 Contributo in Volume,-,nocluster
Designing Options and New Works Spaces,"ZURLO, FRANCESCO",2016,02.1 Contributo in Volume,-,nocluster
Colore Accessibile. Studi per un progetto di wayfinding lungo la via Regina tra Italia e Svizzera,"DE PAOLIS, ROBERTO;GUERINI, SILVIA",2015,02.1 Contributo in Volume,-,nocluster
Evaluation of the impact of ITS,"STUDER, LUCA PASINO;MARCHIONNI, GIOVANNA",2016,02.1 Contributo in Volume,-,nocluster
Torre Galfa,"ANZANI, ANNA",2016,02.1 Contributo in Volume,-,nocluster
Design and Restoration - A Holistic Approach,"ANZANI, ANNA;CARAMEL, CLAUDIA",2016,02.1 Contributo in Volume,-,nocluster
Architectura picta e spazio virtuale. Incubazione della cultura prospettica lombarda.,"ROSSI, MICHELA",2017,02.1 Contributo in Volume,-,nocluster
Innovative Urban Mobility Shaped by Users Through Pervasive Information and Communication Technologies.,"ZILVETTI, MARCO;Conti, M.;BREVI, FAUSTO",2016,02.1 Contributo in Volume,-,nocluster
Design. Forse e chissà,"FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
Design. Perhaps and Maybe,"FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
Fare Luce,"FINESSI, GIUSEPPE",2017,02.1 Contributo in Volume,-,nocluster
"Pensare con le mani, lasciando tracce","FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
"Thinking with the hands, leaving traces","FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
Quasi segreti,"FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
Storie di altre stanze,"FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
"Stanze. 11 progetti, una mostra","FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
1916-2016: stanze italiane,"FINESSI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
La portata innovativa della svolta iconica. Un commento sulle immagini oltre la testualità,"CARATTI, ELENA",2017,02.1 Contributo in Volume,"svolta iconica, immagine/testo, agentività",nocluster
Introduzione,"PIZZOCARO, SILVIA LUISA",2017,02.1 Contributo in Volume,-,nocluster
Innovazione come conversazione. Se il design attiva l'intersezione di saperi e conoscenze,"PIZZOCARO, SILVIA LUISA",2017,02.1 Contributo in Volume,-,nocluster
A Pilot Study of a Wearable Navigation Device with Tactile Display for Elderly with Cognitive Impairment,"CHE ME, ROSALAM;FERRARO, VENERE;BIAMONTI, ALESSANDRO",2017,02.1 Contributo in Volume,"Wearability, Haptic-feedback, Navigation, Cognitive impairment, Pilot study.",nocluster
The Role of Design as Technology Enabler: A Personalized Integrated Predictive Diabetes Management System,"FERRARO, VENERE;ARQUILLA, VENANZIO",2017,02.1 Contributo in Volume,-,nocluster
Rinnovare le scuole dall’interno. Scenari e strategie di miglioramento per le infrastrutture scolastiche,"BORSOTTI, MARCO;SPAGNOLI, ALESSANDRA",2017,02.1 Contributo in Volume,-,nocluster
"Procedural design and ordered complexity. Code, pattern and digital fabrication","BURATTI, GIORGIO",2015,02.1 Contributo in Volume,-,nocluster
Maestri di prospettiva e di tarsia. L’utilizzo della prospettiva nelle tarsie del coro di Santa Maria Maggiore a Bergamo,"BURATTI, GIORGIO",2016,02.1 Contributo in Volume,-,nocluster
