dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533711;ita;2006;nazionale;-0;-0;-0;Relazione interna per il Min. dei Trasporti;-0;-0;-0;Il trasporto delle merci pericolose in galleria;-0;07.12 Altro;none;4;"MAJA, ROBERTO;RAINOLDI, GIOVANNI;ROMAN D;SALIMBENI R.";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533712;eng;2006;internazionale;-0;-0;-0;Deliverable for The Alpine Convention, Transport Workgroup;-0;-0;-0;External Cost Assessment In Transalpine Corridors;-0;07.12 Altro;none;2;"MAJA, ROBERTO;D. ROMANO'";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/664578;eng ita;2006;-0;Eulda Books, Cacao Design,;-0;-0;-0;-0;Milano;European Logo Design Award 2006 (EULDA 06);European Logo Design Award (EULDA 06);-0;07.13 Progetti;none;1;GUIDA, FRANCESCO ERMANNO;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/664580;eng;2006;-0;Communication Arts Magazine;-0;-0;-0;-0;USA;47° Annual di Graphic Design;Award of Excellence «Communication Arts» (Usa);-0;07.13 Progetti;none;1;GUIDA, FRANCESCO ERMANNO;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667394;ita;2006;-0;Roma Metropolitane S.r.l.;-0;-0;-0;-0;Roma, Italia;Concorso di Progettazione, Project Financing;Concorso di Progettazione, Project Financing, Metro D Roma, Fermate Ojetti e Pugliese e Nuovo Salario.;-0;07.13 Progetti;none;6;"Mandataria Società Italiana per le Condotte D'acqua;Mandante Impresa Pizzarotti;C.;Responsabile del progetto Geodeta S. p. a.;G. Fioravanti;F. Galdo;PIERLUISI, GABRIELE";;;;;
07 ALTRO::07.03 Design;http://hdl.handle.net/11311/958784;eng ita;2007;-0;-0;-0;-0;-0;-0;-0;-0;Gli impressionisti, i simbolisti e le avanguardie. 120 capolavori dal museo nazionale di Belgrado.;-0;07.03 Design;info:eu-repo/semantics/openAccess;1;GADDI, ROSSANA;;;;;
07 ALTRO::07.05 Esposizione;http://hdl.handle.net/11311/696728;-0;2007;-0;-0;-0;-0;-0;-0;-0;-0;Transforme;-0;07.05 Esposizione;none;4;"CONTI, GIOVANNI MARIA;Bonapace D.;Botta F.;Burani S.";;;;;
07 ALTRO::07.06 Mostra;http://hdl.handle.net/11311/692361;-0;2007;-0;-0;-0;-0;-0;-0;-0;-0;"Mostra e giornata di studio: ""Lo Studio-Museo Achille Castiglioni della Triennale di Milano. Scenari di fruizione e prospettive di valorizzazione"" presso la Triennale di Milano - settembre 2007";Studio Museo Achille Castiglioni; Triennale di Milano; ricerca d.cult; design per i beni culturali;07.06 Mostra;info:eu-repo/semantics/closedAccess;3;"S. Annicchiarico;PARENTE, MARINA;SEASSARO, ALBERTO";;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533866;eng;2007;internazionale;Univie;AUT;Vienna;-0;-0;-0;-0;Ernst von Glasersfeld and the Italian Operative School;Ricerca operativa;07.12 Altro;none;2;"PIZZOCARO, SILVIA LUISA;R. Glanville";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/565395;-0;2007;nazionale;-0;-0;-0;-0;-0;-0;-0;La ricerca del piacere;-0;07.12 Altro;none;1;GUIDA, FRANCESCO ERMANNO;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/667288;-0;2007;nazionale;-0;-0;-0;-0;-0;-0;-0;Gabriele Pierluisi. Paesaggi urbani. Marte, Roma 2007-08;Paesaggio urbano; MARTE; Digitale Caldo; Pittura e disegno; Pieghe; spazio.;07.12 Altro;info:eu-repo/semantics/closedAccess;5;"Massimiliano Fuksas;Camilla Pignatti Morano;Marta Fegiz;Laura De Iudicibus;PIERLUISI, GABRIELE"
