title,author,year,type,keywords,cluster
Design for environmental sustainability,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO",2008,03.1 Monografia o trattato scientifico,Design for Sustainability; Life Cycle Design; Eco-design.,nocluster
Design Multiverso. Appunti di fenomenologia del design,"BERTOLA, PAOLA;MANZINI, EZIO",2004,03.1 Monografia o trattato scientifico,-,nocluster
TRANS-ALPS A Transport model for decisions on Traffic Management Plans,"STUDER, LUCA PASINO;ARDITI R.;JAVICOLI A.;MAJA, ROBERTO;PONTI, MARCO;SALA, GABRIELLA;VERONESI, ELEONORA",2003,03.1 Monografia o trattato scientifico,-,nocluster
Metodi e modelli per il trasporto pubblico locale,"PODESTA' C.;MAJA, ROBERTO",2001,03.1 Monografia o trattato scientifico,-,nocluster
Texture design. Un percorso basic,"CALABI, DANIELA ANNA",2003,03.1 Monografia o trattato scientifico,-,nocluster
L'avventura dell'innovazione fra cultura materiale e strategia del progresso,"TONELLI, MARIA CRISTINA",1996,03.1 Monografia o trattato scientifico,-,nocluster
Il design in Italia 1925 / 43,"TONELLI, MARIA CRISTINA",1987,03.1 Monografia o trattato scientifico,-,nocluster
Industrial design: latitudine e longitudine. Una prima lezione,"TONELLI, MARIA CRISTINA",2008,03.1 Monografia o trattato scientifico,-,nocluster
"Itinerari. Opere, progetti, prodotti tra arte e design","GUERRINI, LUCA",2008,03.1 Monografia o trattato scientifico,arte contemporanea; Design,nocluster
La Gran Bretagna: la riqualificazione urbana come rivitalizzazione economica,"GUERRINI, LUCA;PEDERIVA I.",1990,03.1 Monografia o trattato scientifico,-,nocluster
La messa in scena del prodotto. Packaging identità e consumo.,"BUCCHETTI, VALERIA LUISA",1999,03.1 Monografia o trattato scientifico,-,nocluster
